UNITID,INSTNM,Institution_Type,Major_Code,CIPDESC,CREDLEV,CREDDESC,Avg_Student_Debt,Earnings_1Yr,Earnings_2Yr,Earnings_3Yr,EARN_MDN_1YR,Earnings_4Yr,Earnings_5Yr
101116.0,South University-Montgomery,"Private, for-profit",1104,Information Science/Studies.,3,Bachelor's Degree,47362,39831,44418,46834,44682,60708,67229
101116.0,South University-Montgomery,"Private, for-profit",2203,Legal Support Services.,3,Bachelor's Degree,41831,33600,30409,28615,36900,38332,46159
101116.0,South University-Montgomery,"Private, for-profit",4201,"Psychology, General.",3,Bachelor's Degree,47750,26893,26836,31098,28684,36910,38844
101116.0,South University-Montgomery,"Private, for-profit",4301,Criminal Justice and Corrections.,3,Bachelor's Degree,48177,33655,34420,36209,37713,42478,47301
101116.0,South University-Montgomery,"Private, for-profit",5100,"Health Services/Allied Health/Health Sciences, General.",3,Bachelor's Degree,53011,31369,30520,34555,36654,40651,47545
101116.0,South University-Montgomery,"Private, for-profit",5107,Health and Medical Administrative Services.,3,Bachelor's Degree,48192,33436,33616,32775,39722,40160,45275
101116.0,South University-Montgomery,"Private, for-profit",5122,Public Health.,3,Bachelor's Degree,47839,29498,,,34789,,
101116.0,South University-Montgomery,"Private, for-profit",5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3,Bachelor's Degree,39647,65499,66883,71557,77635,78626,90784
101116.0,South University-Montgomery,"Private, for-profit",5202,"Business Administration, Management and Operations.",3,Bachelor's Degree,47764,37748,39986,42014,43773,48439,54466
102845.0,Charter College,"Private, for-profit",1101,"Computer and Information Sciences, General.",3,Bachelor's Degree,,,59169,,,,
102845.0,Charter College,"Private, for-profit",2203,Legal Support Services.,3,Bachelor's Degree,,,,,,,
102845.0,Charter College,"Private, for-profit",4301,Criminal Justice and Corrections.,3,Bachelor's Degree,,,27048,32827,,40573,47252
102845.0,Charter College,"Private, for-profit",4901,Air Transportation.,3,Bachelor's Degree,,,,,,,
102845.0,Charter College,"Private, for-profit",5107,Health and Medical Administrative Services.,3,Bachelor's Degree,44265,35530,33281,,40226,33116,43092
102845.0,Charter College,"Private, for-profit",5202,"Business Administration, Management and Operations.",3,Bachelor's Degree,40016,45669,37208,38103,47217,43694,55248
102845.0,Charter College,"Private, for-profit",5203,Accounting and Related Services.,3,Bachelor's Degree,,,,,,,
102845.0,Charter College,"Private, for-profit",5212,Management Information Systems and Services.,3,Bachelor's Degree,,,,,,,
104090.0,Brookline College-Phoenix,"Private, for-profit",4301,Criminal Justice and Corrections.,3,Bachelor's Degree,,29361,31205,26682,33962,36180,39701
104090.0,Brookline College-Phoenix,"Private, for-profit",4304,Security Science and Technology.,3,Bachelor's Degree,,,,,,,
104090.0,Brookline College-Phoenix,"Private, for-profit",5107,Health and Medical Administrative Services.,3,Bachelor's Degree,,,35060,,,42775,
104090.0,Brookline College-Phoenix,"Private, for-profit",5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,3,Bachelor's Degree,,,,,,,
104090.0,Brookline College-Phoenix,"Private, for-profit",5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3,Bachelor's Degree,40944,68395,69146,72108,78980,79023,88614
104090.0,Brookline College-Phoenix,"Private, for-profit",5202,"Business Administration, Management and Operations.",3,Bachelor's Degree,29942,,,32475,,45437,
104717.0,Grand Canyon University,"Private, for-profit",301,Natural Resources Conservation and Research.,3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",901,Communication and Media Studies.,3,Bachelor's Degree,28994,32141,33138,33833,38507,36765,43969
104717.0,Grand Canyon University,"Private, for-profit",909,"Public Relations, Advertising, and Applied Communication.",3,Bachelor's Degree,,,,,37307,,
104717.0,Grand Canyon University,"Private, for-profit",1101,"Computer and Information Sciences, General.",3,Bachelor's Degree,31230,,,,59500,,
104717.0,Grand Canyon University,"Private, for-profit",1102,Computer Programming.,3,Bachelor's Degree,24669,,,,52190,,
104717.0,Grand Canyon University,"Private, for-profit",1107,Computer Science.,3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",1310,Special Education and Teaching.,3,Bachelor's Degree,44549,35016,34483,37328,43258,41637,46426
104717.0,Grand Canyon University,"Private, for-profit",1312,"Teacher Education and Professional Development, Specific Levels and Methods.",3,Bachelor's Degree,37064,34808,31388,34264,40682,39263,44724
104717.0,Grand Canyon University,"Private, for-profit",1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,Bachelor's Degree,,32529,35060,43804,42566,47520,49950
104717.0,Grand Canyon University,"Private, for-profit",1401,"Engineering, General.",3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",1405,Biomedical/Medical Engineering.,3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",1410,"Electrical, Electronics and Communications Engineering.",3,Bachelor's Degree,,,,,74628,,
104717.0,Grand Canyon University,"Private, for-profit",1419,Mechanical Engineering.,3,Bachelor's Degree,,,,,68391,,
104717.0,Grand Canyon University,"Private, for-profit",1503,Electrical Engineering Technologies/Technicians.,3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",1508,Mechanical Engineering Related Technologies/Technicians.,3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",1609,"Romance Languages, Literatures, and Linguistics.",3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",1905,"Foods, Nutrition, and Related Services.",3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",2301,"English Language and Literature, General.",3,Bachelor's Degree,,,35600,,,,60020
104717.0,Grand Canyon University,"Private, for-profit",2313,Rhetoric and Composition/Writing Studies.,3,Bachelor's Degree,28418,,,,31006,,
104717.0,Grand Canyon University,"Private, for-profit",2314,Literature.,3,Bachelor's Degree,36334,21664,30554,30679,,34574,41025
104717.0,Grand Canyon University,"Private, for-profit",2601,"Biology, General.",3,Bachelor's Degree,25418,27166,27693,35295,30775,43156,59483
104717.0,Grand Canyon University,"Private, for-profit",2602,"Biochemistry, Biophysics and Molecular Biology.",3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",3099,"Multi/Interdisciplinary Studies, Other.",3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",3105,Health and Physical Education/Fitness.,3,Bachelor's Degree,27251,32661,30376,38391,34723,43912,49452
104717.0,Grand Canyon University,"Private, for-profit",3802,Religion/Religious Studies.,3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",3904,Religious Education.,3,Bachelor's Degree,36007,31317,33655,26500,37273,35667,42169
104717.0,Grand Canyon University,"Private, for-profit",4005,Chemistry.,3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",4201,"Psychology, General.",3,Bachelor's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",4301,Criminal Justice and Corrections.,3,Bachelor's Degree,29963,35660,36704,40255,41180,47768,53284
