UNITID,INSTNM,CIPDESC,Avg_Student_Debt,Earnings_1Yr
101116.0,South University-Montgomery,Information Science/Studies.,47362.0,39831.0
101116.0,South University-Montgomery,Legal Support Services.,41831.0,33600.0
101116.0,South University-Montgomery,"Psychology, General.",47750.0,26893.0
101116.0,South University-Montgomery,Criminal Justice and Corrections.,48177.0,33655.0
101116.0,South University-Montgomery,"Health Services/Allied Health/Health Sciences, General.",53011.0,31369.0
101116.0,South University-Montgomery,Health and Medical Administrative Services.,48192.0,33436.0
101116.0,South University-Montgomery,Public Health.,47839.0,29498.0
101116.0,South University-Montgomery,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",39647.0,65499.0
101116.0,South University-Montgomery,"Business Administration, Management and Operations.",47764.0,37748.0
102845.0,Charter College,"Computer and Information Sciences, General.",,
102845.0,Charter College,Legal Support Services.,,
102845.0,Charter College,Criminal Justice and Corrections.,,
102845.0,Charter College,Air Transportation.,,
102845.0,Charter College,Health and Medical Administrative Services.,44265.0,35530.0
102845.0,Charter College,"Business Administration, Management and Operations.",40016.0,45669.0
102845.0,Charter College,Accounting and Related Services.,,
102845.0,Charter College,Management Information Systems and Services.,,
104090.0,Brookline College-Phoenix,Criminal Justice and Corrections.,,29361.0
104090.0,Brookline College-Phoenix,Security Science and Technology.,,
104090.0,Brookline College-Phoenix,Health and Medical Administrative Services.,,
104090.0,Brookline College-Phoenix,Clinical/Medical Laboratory Science/Research and Allied Professions.,,
104090.0,Brookline College-Phoenix,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",40944.0,68395.0
104090.0,Brookline College-Phoenix,"Business Administration, Management and Operations.",29942.0,
104717.0,Grand Canyon University,Natural Resources Conservation and Research.,,
104717.0,Grand Canyon University,Communication and Media Studies.,28994.0,32141.0
104717.0,Grand Canyon University,"Public Relations, Advertising, and Applied Communication.",,
104717.0,Grand Canyon University,"Computer and Information Sciences, General.",31230.0,
104717.0,Grand Canyon University,Computer Programming.,24669.0,
104717.0,Grand Canyon University,Computer Science.,,
104717.0,Grand Canyon University,Special Education and Teaching.,44549.0,35016.0
104717.0,Grand Canyon University,"Teacher Education and Professional Development, Specific Levels and Methods.",37064.0,34808.0
104717.0,Grand Canyon University,"Teacher Education and Professional Development, Specific Subject Areas.",,32529.0
104717.0,Grand Canyon University,"Engineering, General.",,
104717.0,Grand Canyon University,Biomedical/Medical Engineering.,,
104717.0,Grand Canyon University,"Electrical, Electronics and Communications Engineering.",,
104717.0,Grand Canyon University,Mechanical Engineering.,,
104717.0,Grand Canyon University,Electrical Engineering Technologies/Technicians.,,
104717.0,Grand Canyon University,Mechanical Engineering Related Technologies/Technicians.,,
104717.0,Grand Canyon University,"Romance Languages, Literatures, and Linguistics.",,
104717.0,Grand Canyon University,"Foods, Nutrition, and Related Services.",,
104717.0,Grand Canyon University,"English Language and Literature, General.",,
104717.0,Grand Canyon University,Rhetoric and Composition/Writing Studies.,28418.0,
104717.0,Grand Canyon University,Literature.,36334.0,21664.0
104717.0,Grand Canyon University,"Biology, General.",25418.0,27166.0
104717.0,Grand Canyon University,"Biochemistry, Biophysics and Molecular Biology.",,
104717.0,Grand Canyon University,"Multi/Interdisciplinary Studies, Other.",,
104717.0,Grand Canyon University,Health and Physical Education/Fitness.,27251.0,32661.0
104717.0,Grand Canyon University,Religion/Religious Studies.,,
104717.0,Grand Canyon University,Religious Education.,36007.0,31317.0
