UNITID,INSTNM,CIPDESC,Avg_Student_Debt,Earnings_1Yr
100690.0,Amridge University,"Human Development, Family Studies, and Related Services.",,
100690.0,Amridge University,Bible/Biblical Studies.,35169.0,
100690.0,Amridge University,Pastoral Counseling and Specialized Ministries.,,
100690.0,Amridge University,Criminal Justice and Corrections.,,
100690.0,Amridge University,"Business Administration, Management and Operations.",43683.0,
100690.0,Amridge University,Business/Corporate Communications.,,
100690.0,Amridge University,Human Resources Management and Services.,,
100690.0,Amridge University,Management Information Systems and Services.,,
100937.0,Birmingham-Southern College,Natural Resources Conservation and Research.,,
100937.0,Birmingham-Southern College,Area Studies.,,
100937.0,Birmingham-Southern College,Communication and Media Studies.,,
100937.0,Birmingham-Southern College,"Computer and Information Sciences, General.",,
100937.0,Birmingham-Southern College,"Teacher Education and Professional Development, Specific Levels and Methods.",,
100937.0,Birmingham-Southern College,"Engineering, General.",,
100937.0,Birmingham-Southern College,"Romance Languages, Literatures, and Linguistics.",,
100937.0,Birmingham-Southern College,"English Language and Literature, General.",,
100937.0,Birmingham-Southern College,"Biology, General.",,23048.0
100937.0,Birmingham-Southern College,Mathematics.,,
100937.0,Birmingham-Southern College,International/Global Studies.,,
100937.0,Birmingham-Southern College,"Multi/Interdisciplinary Studies, Other.",,
100937.0,Birmingham-Southern College,Philosophy.,,
100937.0,Birmingham-Southern College,Religion/Religious Studies.,,
100937.0,Birmingham-Southern College,Chemistry.,,
100937.0,Birmingham-Southern College,Physics.,,
100937.0,Birmingham-Southern College,"Psychology, General.",24575.0,23580.0
100937.0,Birmingham-Southern College,Economics.,,
100937.0,Birmingham-Southern College,Political Science and Government.,,
100937.0,Birmingham-Southern College,Sociology.,,
100937.0,Birmingham-Southern College,"Social Sciences, Other.",,
100937.0,Birmingham-Southern College,Drama/Theatre Arts and Stagecraft.,,
100937.0,Birmingham-Southern College,Fine and Studio Arts.,,
100937.0,Birmingham-Southern College,Music.,,
100937.0,Birmingham-Southern College,"Health Services/Allied Health/Health Sciences, General.",,
100937.0,Birmingham-Southern College,"Business Administration, Management and Operations.",,39374.0
100937.0,Birmingham-Southern College,Accounting and Related Services.,,
100937.0,Birmingham-Southern College,History.,,
101189.0,Faulkner University,"Computer and Information Sciences, General.",,
101189.0,Faulkner University,Computer Science.,,
101189.0,Faulkner University,"Teacher Education and Professional Development, Specific Levels and Methods.",,35964.0
101189.0,Faulkner University,"Teacher Education and Professional Development, Specific Subject Areas.",,
101189.0,Faulkner University,Non-Professional General Legal Studies (Undergraduate).,,
101189.0,Faulkner University,"English Language and Literature, General.",,
101189.0,Faulkner University,"Liberal Arts and Sciences, General Studies and Humanities.",,
101189.0,Faulkner University,"Biology, General.",,
101189.0,Faulkner University,"Biochemistry, Biophysics and Molecular Biology.",,
101189.0,Faulkner University,Mathematics.,,
101189.0,Faulkner University,"Multi-/Interdisciplinary Studies, General.",22747.0,
101189.0,Faulkner University,Health and Physical Education/Fitness.,32526.0,
101189.0,Faulkner University,Bible/Biblical Studies.,,
101189.0,Faulkner University,Missions/Missionary Studies and Missiology.,,
101189.0,Faulkner University,Theological and Ministerial Studies.,,
101189.0,Faulkner University,Pastoral Counseling and Specialized Ministries.,,
101189.0,Faulkner University,"Clinical, Counseling and Applied Psychology.",,25465.0
101189.0,Faulkner University,"Psychology, Other.",,
101189.0,Faulkner University,Criminal Justice and Corrections.,30222.0,36040.0
101189.0,Faulkner University,"Social Sciences, General.",,
101189.0,Faulkner University,Drama/Theatre Arts and Stagecraft.,,
101189.0,Faulkner University,Music.,,
101189.0,Faulkner University,Health/Medical Preparatory Programs.,,
101189.0,Faulkner University,"Business/Commerce, General.",29808.0,46429.0
101189.0,Faulkner University,"Business Administration, Management and Operations.",35906.0,39646.0
101189.0,Faulkner University,Accounting and Related Services.,,
101189.0,Faulkner University,Human Resources Management and Services.,34840.0,35921.0
101189.0,Faulkner University,Management Information Systems and Services.,,
101189.0,Faulkner University,Management Sciences and Quantitative Methods.,,
101189.0,Faulkner University,History.,,
101365.0,Herzing University-Birmingham,Computer Programming.,35828.0,53952.0
101365.0,Herzing University-Birmingham,Computer/Information Technology Administration and Management.,39908.0,47053.0
101365.0,Herzing University-Birmingham,Legal Support Services.,,
101365.0,Herzing University-Birmingham,Criminal Justice and Corrections.,30635.0,52717.0
101365.0,Herzing University-Birmingham,Homeland Security.,,
101365.0,Herzing University-Birmingham,Health and Medical Administrative Services.,44284.0,38542.0
101365.0,Herzing University-Birmingham,"Business Administration, Management and Operations.",41383.0,46040.0
101365.0,Herzing University-Birmingham,Accounting and Related Services.,40860.0,39469.0
101435.0,Huntingdon College,Communication and Media Studies.,,
101435.0,Huntingdon College,"Teacher Education and Professional Development, Specific Levels and Methods.",,
101435.0,Huntingdon College,"Teacher Education and Professional Development, Specific Subject Areas.",,
101435.0,Huntingdon College,"English Language and Literature, General.",,
101435.0,Huntingdon College,Rhetoric and Composition/Writing Studies.,,
101435.0,Huntingdon College,"Biology, General.",30084.0,
101435.0,Huntingdon College,"Biochemistry, Biophysics and Molecular Biology.",,
101435.0,Huntingdon College,Cell/Cellular Biology and Anatomical Sciences.,,
101435.0,Huntingdon College,Mathematics.,,
101435.0,Huntingdon College,Applied Mathematics.,,
101435.0,Huntingdon College,Health and Physical Education/Fitness.,,25508.0
101435.0,Huntingdon College,Religion/Religious Studies.,,
101435.0,Huntingdon College,Religious Education.,,
101435.0,Huntingdon College,Pastoral Counseling and Specialized Ministries.,,
101435.0,Huntingdon College,Chemistry.,,
101435.0,Huntingdon College,"Psychology, General.",,
101435.0,Huntingdon College,Criminal Justice and Corrections.,,
101435.0,Huntingdon College,Political Science and Government.,,
101435.0,Huntingdon College,Fine and Studio Arts.,,
101435.0,Huntingdon College,Music.,,
101435.0,Huntingdon College,"Health Services/Allied Health/Health Sciences, General.",,
101435.0,Huntingdon College,"Allied Health Diagnostic, Intervention, and Treatment Professions.",,
101435.0,Huntingdon College,"Business/Commerce, General.",,
101435.0,Huntingdon College,"Business Administration, Management and Operations.",32209.0,35665.0
101435.0,Huntingdon College,Accounting and Related Services.,,
