UNITID,INSTNM,CIPDESC,Avg_Student_Debt,Earnings_1Yr
101116.0,South University-Montgomery,Information Science/Studies.,,59218.0
101116.0,South University-Montgomery,Criminal Justice and Corrections.,,39115.0
101116.0,South University-Montgomery,Public Administration.,,41016.0
101116.0,South University-Montgomery,Health and Medical Administrative Services.,,43629.0
101116.0,South University-Montgomery,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,90832.0
101116.0,South University-Montgomery,"Business Administration, Management and Operations.",,46002.0
102845.0,Charter College,"Business Administration, Management and Operations.",,
104090.0,Brookline College-Phoenix,"Human Services, General.",,
104090.0,Brookline College-Phoenix,Bioethics/Medical Ethics.,,
104090.0,Brookline College-Phoenix,"Business Administration, Management and Operations.",,
104717.0,Grand Canyon University,Communication and Media Studies.,,
104717.0,Grand Canyon University,"Computer and Information Sciences, General.",,86965.0
104717.0,Grand Canyon University,Computer/Information Technology Administration and Management.,,
104717.0,Grand Canyon University,"Education, General.",,59308.0
104717.0,Grand Canyon University,Curriculum and Instruction.,,50846.0
104717.0,Grand Canyon University,Educational Administration and Supervision.,,56083.0
104717.0,Grand Canyon University,Educational/Instructional Media Design.,,62516.0
104717.0,Grand Canyon University,Special Education and Teaching.,,45704.0
104717.0,Grand Canyon University,Student Counseling and Personnel Services.,,
104717.0,Grand Canyon University,"Teacher Education and Professional Development, Specific Levels and Methods.",,40997.0
104717.0,Grand Canyon University,"Teacher Education and Professional Development, Specific Subject Areas.",,51330.0
104717.0,Grand Canyon University,Teaching English or French as a Second or Foreign Language.,,56028.0
104717.0,Grand Canyon University,Religion/Religious Studies.,,
104717.0,Grand Canyon University,Bible/Biblical Studies.,,
104717.0,Grand Canyon University,Religious Education.,,42008.0
104717.0,Grand Canyon University,Theological and Ministerial Studies.,,
104717.0,Grand Canyon University,"Clinical, Counseling and Applied Psychology.",,
104717.0,Grand Canyon University,"Psychology, Other.",,43695.0
104717.0,Grand Canyon University,Criminal Justice and Corrections.,,45908.0
104717.0,Grand Canyon University,Fire Protection.,,
104717.0,Grand Canyon University,Public Administration.,,51638.0
104717.0,Grand Canyon University,Health and Medical Administrative Services.,,59268.0
104717.0,Grand Canyon University,Mental and Social Health Services and Allied Professions.,,42189.0
104717.0,Grand Canyon University,Public Health.,,44120.0
104717.0,Grand Canyon University,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,97451.0
104717.0,Grand Canyon University,"Business Administration, Management and Operations.",,65248.0
104717.0,Grand Canyon University,Accounting and Related Services.,,58382.0
104717.0,Grand Canyon University,Marketing.,,55864.0
108232.0,Academy of Art University,Architecture.,,
108232.0,Academy of Art University,Landscape Architecture.,,
108232.0,Academy of Art University,Architectural Sciences and Technology.,,
108232.0,Academy of Art University,Communication and Media Studies.,,
108232.0,Academy of Art University,Journalism.,,39016.0
108232.0,Academy of Art University,"Radio, Television, and Digital Communication.",,
108232.0,Academy of Art University,"Public Relations, Advertising, and Applied Communication.",,
108232.0,Academy of Art University,Audiovisual Communications Technologies/Technicians.,,
108232.0,Academy of Art University,Graphic Communications.,,
108232.0,Academy of Art University,Computer Software and Media Applications.,,55653.0
108232.0,Academy of Art University,Educational/Instructional Media Design.,,
108232.0,Academy of Art University,"Teacher Education and Professional Development, Specific Subject Areas.",,
108232.0,Academy of Art University,Drafting/Design Engineering Technologies/Technicians.,,58262.0
108232.0,Academy of Art University,Apparel and Textiles.,,
108232.0,Academy of Art University,"Visual and Performing Arts, General.",,29959.0
108232.0,Academy of Art University,Design and Applied Arts.,,43701.0
108232.0,Academy of Art University,Drama/Theatre Arts and Stagecraft.,,
108232.0,Academy of Art University,Film/Video and Photographic Arts.,,41783.0
108232.0,Academy of Art University,Fine and Studio Arts.,,32379.0
108232.0,Academy of Art University,Music.,,
108232.0,Academy of Art University,"Specialized Sales, Merchandising and  Marketing Operations.",,
110219.0,Bryan University,Health and Medical Administrative Services.,,
110219.0,Bryan University,Public Health.,,
110468.0,Alliant International University-San Diego,Special Education and Teaching.,,54156.0
110468.0,Alliant International University-San Diego,Student Counseling and Personnel Services.,,
110468.0,Alliant International University-San Diego,"Teacher Education and Professional Development, Specific Levels and Methods.",,53382.0
110468.0,Alliant International University-San Diego,Teaching English or French as a Second or Foreign Language.,,43968.0
110468.0,Alliant International University-San Diego,Research and Experimental Psychology.,,104061.0
110468.0,Alliant International University-San Diego,"Clinical, Counseling and Applied Psychology.",,67278.0
110468.0,Alliant International University-San Diego,Criminology.,,44338.0
110468.0,Alliant International University-San Diego,Mental and Social Health Services and Allied Professions.,,44946.0
110468.0,Alliant International University-San Diego,"Business Administration, Management and Operations.",,
110468.0,Alliant International University-San Diego,Human Resources Management and Services.,,
110468.0,Alliant International University-San Diego,Management Sciences and Quantitative Methods.,,
110778.0,Sofia University,Computer Science.,,
110778.0,Sofia University,"Psychology, Other.",,25120.0
110778.0,Sofia University,"Business Administration, Management and Operations.",,
112394.0,University of Silicon Valley,Entrepreneurial and Small Business Operations.,,
114114.0,Emperor's College of Traditional Oriental Medicine,Alternative and Complementary Medicine and Medical Systems.,,16029.0
114123.0,Empire College,Non-Professional General Legal Studies (Undergraduate).,,
114354.0,FIDM-Fashion Institute of Design & Merchandising,"Business, Management, Marketing, and Related Support Services, Other.",,
114585.0,Five Branches University,Alternative and Complementary Medicine and Medical Systems.,,16011.0
115746.0,Pacifica Graduate Institute,"Liberal Arts and Sciences, General Studies and Humanities.",,
115746.0,Pacifica Graduate Institute,"Clinical, Counseling and Applied Psychology.",,39415.0
115746.0,Pacifica Graduate Institute,"Psychology, Other.",,
116226.0,Interior Designers Institute,Interior Architecture.,,
116226.0,Interior Designers Institute,Design and Applied Arts.,,
119775.0,Newschool of Architecture and Design,Architecture.,,
119775.0,Newschool of Architecture and Design,Architectural Sciences and Technology.,,
119775.0,Newschool of Architecture and Design,Construction Management.,,54148.0
122834.0,Santa Barbara Business College-Bakersfield,"Business Administration, Management and Operations.",,
125231.0,Walden University,Communication and Media Studies.,,46723.0
125231.0,Walden University,"Computer and Information Sciences, General.",,64766.0
125231.0,Walden University,Computer/Information Technology Administration and Management.,,
125231.0,Walden University,"Education, General.",,50519.0
125231.0,Walden University,Curriculum and Instruction.,,58091.0
125231.0,Walden University,Educational Administration and Supervision.,,45848.0
125231.0,Walden University,Student Counseling and Personnel Services.,,39489.0
125231.0,Walden University,"Teacher Education and Professional Development, Specific Levels and Methods.",,41031.0
125231.0,Walden University,"Teacher Education and Professional Development, Specific Subject Areas.",,
125231.0,Walden University,"Education, Other.",,
125231.0,Walden University,Gerontology.,,
125231.0,Walden University,Basic Skills and Developmental/Remedial Education.,,
125231.0,Walden University,Leisure and Recreational Activities.,,
125231.0,Walden University,"Psychology, General.",,41796.0
125231.0,Walden University,Research and Experimental Psychology.,,
125231.0,Walden University,"Clinical, Counseling and Applied Psychology.",,41112.0
125231.0,Walden University,Criminal Justice and Corrections.,,47250.0
125231.0,Walden University,Homeland Security.,,
125231.0,Walden University,"Human Services, General.",,41218.0
125231.0,Walden University,Public Administration.,,50053.0
125231.0,Walden University,Public Policy Analysis.,,44525.0
125231.0,Walden University,Social Work.,,45721.0
125231.0,Walden University,Health and Medical Administrative Services.,,60210.0
125231.0,Walden University,Mental and Social Health Services and Allied Professions.,,42159.0
125231.0,Walden University,Public Health.,,47603.0
125231.0,Walden University,Medical Illustration and Informatics.,,64492.0
125231.0,Walden University,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,93694.0
125231.0,Walden University,"Business Administration, Management and Operations.",,56371.0
125231.0,Walden University,Accounting and Related Services.,,59915.0
125231.0,Walden University,Finance and Financial Management Services.,,
125231.0,Walden University,Human Resources Management and Services.,,45507.0
125231.0,Walden University,Management Information Systems and Services.,,52969.0
125231.0,Walden University,Marketing.,,
126827.0,Colorado Technical University-Colorado Springs,"Computer and Information Sciences, General.",,72736.0
126827.0,Colorado Technical University-Colorado Springs,Computer Science.,,82493.0
126827.0,Colorado Technical University-Colorado Springs,Computer/Information Technology Administration and Management.,,63476.0
126827.0,Colorado Technical University-Colorado Springs,Computer Engineering.,,
126827.0,Colorado Technical University-Colorado Springs,"Electrical, Electronics and Communications Engineering.",,
126827.0,Colorado Technical University-Colorado Springs,Systems Engineering.,,
126827.0,Colorado Technical University-Colorado Springs,Criminal Justice and Corrections.,,36143.0
126827.0,Colorado Technical University-Colorado Springs,Homeland Security.,,49829.0
126827.0,Colorado Technical University-Colorado Springs,Health and Medical Administrative Services.,,30247.0
126827.0,Colorado Technical University-Colorado Springs,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,
126827.0,Colorado Technical University-Colorado Springs,"Business Administration, Management and Operations.",,49539.0
126827.0,Colorado Technical University-Colorado Springs,Accounting and Related Services.,,40310.0
127945.0,Rocky Mountain College of Art and Design,Educational/Instructional Media Design.,,
127945.0,Rocky Mountain College of Art and Design,Design and Applied Arts.,,
130183.0,Post University,"Education, General.",,52478.0
130183.0,Post University,Educational Administration and Supervision.,,
130183.0,Post University,"Human Services, General.",,52762.0
130183.0,Post University,Public Administration.,,73466.0
130183.0,Post University,"Business/Commerce, General.",,69016.0
130183.0,Post University,"Business Administration, Management and Operations.",,
130183.0,Post University,Accounting and Related Services.,,68219.0
131803.0,Strayer University-District of Columbia,Information Science/Studies.,,72151.0
131803.0,Strayer University-District of Columbia,Computer/Information Technology Administration and Management.,,86262.0
131803.0,Strayer University-District of Columbia,Educational Administration and Supervision.,,41124.0
131803.0,Strayer University-District of Columbia,Public Administration.,,44452.0
131803.0,Strayer University-District of Columbia,Health and Medical Administrative Services.,,41635.0
131803.0,Strayer University-District of Columbia,"Business Administration, Management and Operations.",,54989.0
131803.0,Strayer University-District of Columbia,Accounting and Related Services.,,54322.0
131803.0,Strayer University-District of Columbia,Human Resources Management and Services.,,49081.0
133465.0,South University-West Palm Beach,Criminal Justice and Corrections.,,39115.0
133465.0,South University-West Palm Beach,Health and Medical Administrative Services.,,43629.0
133465.0,South University-West Palm Beach,Mental and Social Health Services and Allied Professions.,,38224.0
133465.0,South University-West Palm Beach,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,90832.0
133465.0,South University-West Palm Beach,"Business Administration, Management and Operations.",,46002.0
134237.0,Full Sail University,Journalism.,,29541.0
134237.0,Full Sail University,"Public Relations, Advertising, and Applied Communication.",,34321.0
134237.0,Full Sail University,Computer Software and Media Applications.,,
134237.0,Full Sail University,Educational/Instructional Media Design.,,53616.0
134237.0,Full Sail University,Rhetoric and Composition/Writing Studies.,,27108.0
134237.0,Full Sail University,Human Computer Interaction.,,30004.0
134237.0,Full Sail University,Design and Applied Arts.,,35873.0
134237.0,Full Sail University,Film/Video and Photographic Arts.,,23300.0
134237.0,Full Sail University,"Arts, Entertainment,and Media Management.",,26500.0
134237.0,Full Sail University,"Business Administration, Management and Operations.",,
134237.0,Full Sail University,Entrepreneurial and Small Business Operations.,,27817.0
134237.0,Full Sail University,Management Information Systems and Services.,,50597.0
134237.0,Full Sail University,Marketing.,,37706.0
134811.0,AI Miami International University of Art and Design,Design and Applied Arts.,,
134811.0,AI Miami International University of Art and Design,Film/Video and Photographic Arts.,,
138309.0,Rasmussen University-Florida,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,
139579.0,South University-Savannah,Information Science/Studies.,,59218.0
139579.0,South University-Savannah,Criminal Justice and Corrections.,,39115.0
139579.0,South University-Savannah,Public Administration.,,41016.0
139579.0,South University-Savannah,Health and Medical Administrative Services.,,43629.0
139579.0,South University-Savannah,Allied Health and Medical Assisting Services.,,172829.0
139579.0,South University-Savannah,"Allied Health Diagnostic, Intervention, and Treatment Professions.",,95547.0
139579.0,South University-Savannah,Mental and Social Health Services and Allied Professions.,,38224.0
139579.0,South University-Savannah,Public Health.,,
139579.0,South University-Savannah,Bioethics/Medical Ethics.,,
139579.0,South University-Savannah,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,90832.0
139579.0,South University-Savannah,"Business Administration, Management and Operations.",,46002.0
139579.0,South University-Savannah,Accounting and Related Services.,,45471.0
139579.0,South University-Savannah,Human Resources Management and Services.,,
154022.0,Ashford University,"Education, General.",,35037.0
154022.0,Ashford University,Educational Administration and Supervision.,,
154022.0,Ashford University,Educational/Instructional Media Design.,,
154022.0,Ashford University,Special Education and Teaching.,,37673.0
154022.0,Ashford University,"Teacher Education and Professional Development, Specific Levels and Methods.",,38882.0
154022.0,Ashford University,"Human Development, Family Studies, and Related Services.",,
154022.0,Ashford University,"Psychology, General.",,35147.0
154022.0,Ashford University,"Clinical, Counseling and Applied Psychology.",,
154022.0,Ashford University,Criminal Justice and Corrections.,,38063.0
154022.0,Ashford University,"Human Services, General.",,
154022.0,Ashford University,Public Administration.,,45533.0
154022.0,Ashford University,Sociology.,,
154022.0,Ashford University,Health and Medical Administrative Services.,,45705.0
154022.0,Ashford University,Mental and Social Health Services and Allied Professions.,,
154022.0,Ashford University,Public Health.,,
154022.0,Ashford University,Medical Illustration and Informatics.,,
154022.0,Ashford University,"Business Administration, Management and Operations.",,54455.0
154022.0,Ashford University,Accounting and Related Services.,,44074.0
154022.0,Ashford University,Finance and Financial Management Services.,,
154022.0,Ashford University,Human Resources Management and Services.,,
154022.0,Ashford University,International Business.,,
154022.0,Ashford University,Management Information Systems and Services.,,
154518.0,Waldorf University,"Teacher Education and Professional Development, Specific Levels and Methods.",,
