UNITID,INSTNM,CIPDESC,Avg_Student_Debt,Earnings_1Yr
100690.0,Amridge University,"Human Development, Family Studies, and Related Services.",,
100690.0,Amridge University,Religion/Religious Studies.,,
100690.0,Amridge University,Bible/Biblical Studies.,,
100690.0,Amridge University,Theological and Ministerial Studies.,,
100690.0,Amridge University,Pastoral Counseling and Specialized Ministries.,,
100690.0,Amridge University,Mental and Social Health Services and Allied Professions.,,
100690.0,Amridge University,"Business Administration, Management and Operations.",,
101189.0,Faulkner University,Curriculum and Instruction.,,
101189.0,Faulkner University,"Teacher Education and Professional Development, Specific Levels and Methods.",,
101189.0,Faulkner University,"Teacher Education and Professional Development, Specific Subject Areas.",,
101189.0,Faulkner University,"Liberal Arts and Sciences, General Studies and Humanities.",,
101189.0,Faulkner University,Bible/Biblical Studies.,,
101189.0,Faulkner University,Theological and Ministerial Studies.,,
101189.0,Faulkner University,Pastoral Counseling and Specialized Ministries.,,
101189.0,Faulkner University,Criminal Justice and Corrections.,,50828.0
101189.0,Faulkner University,Mental and Social Health Services and Allied Professions.,,28346.0
101189.0,Faulkner University,"Business Administration, Management and Operations.",,52636.0
101189.0,Faulkner University,Management Sciences and Quantitative Methods.,,37360.0
101365.0,Herzing University-Birmingham,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,94228.0
101365.0,Herzing University-Birmingham,"Business Administration, Management and Operations.",,51303.0
101453.0,Heritage Christian University,Bible/Biblical Studies.,,
101453.0,Heritage Christian University,Theological and Ministerial Studies.,,
101693.0,University of Mobile,Educational Administration and Supervision.,,
101693.0,University of Mobile,"Teacher Education and Professional Development, Specific Levels and Methods.",,
101693.0,University of Mobile,Religion/Religious Studies.,,
101693.0,University of Mobile,Music.,,
101693.0,University of Mobile,Mental and Social Health Services and Allied Professions.,,
101693.0,University of Mobile,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,
101693.0,University of Mobile,"Business Administration, Management and Operations.",,
101912.0,Oakwood University,Pastoral Counseling and Specialized Ministries.,,
101912.0,Oakwood University,Public Health.,,
101912.0,Oakwood University,"Business Administration, Management and Operations.",,
102049.0,Samford University,Natural Resources Conservation and Research.,,
102049.0,Samford University,Educational Administration and Supervision.,,52967.0
102049.0,Samford University,Educational/Instructional Media Design.,,
102049.0,Samford University,Special Education and Teaching.,,
102049.0,Samford University,"Teacher Education and Professional Development, Specific Levels and Methods.",,44337.0
102049.0,Samford University,"Teacher Education and Professional Development, Specific Subject Areas.",,
102049.0,Samford University,Environmental Control Technologies/Technicians.,,
102049.0,Samford University,"Foods, Nutrition, and Related Services.",,
102049.0,Samford University,Legal Research and Advanced Professional Studies.,,
102049.0,Samford University,Missions/Missionary Studies and Missiology.,,
102049.0,Samford University,Religious/Sacred Music.,,
102049.0,Samford University,Theological and Ministerial Studies.,,37947.0
102049.0,Samford University,Social Work.,,35457.0
102049.0,Samford University,Music.,,
102049.0,Samford University,Communication Disorders Sciences and Services.,,49829.0
102049.0,Samford University,Health and Medical Administrative Services.,,
102049.0,Samford University,"Allied Health Diagnostic, Intervention, and Treatment Professions.",,
102049.0,Samford University,Public Health.,,
102049.0,Samford University,Rehabilitation and Therapeutic Professions.,,78736.0
102049.0,Samford University,Medical Illustration and Informatics.,,
102049.0,Samford University,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,97811.0
102049.0,Samford University,"Business Administration, Management and Operations.",,75518.0
102049.0,Samford University,Accounting and Related Services.,,56217.0
102234.0,Spring Hill College,"Teacher Education and Professional Development, Specific Levels and Methods.",,
102234.0,Spring Hill College,"Teacher Education and Professional Development, Specific Subject Areas.",,
102234.0,Spring Hill College,"Liberal Arts and Sciences, General Studies and Humanities.",,
102234.0,Spring Hill College,Religion/Religious Studies.,,
102234.0,Spring Hill College,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",,
102234.0,Spring Hill College,"Business Administration, Management and Operations.",,
102298.0,Talladega College,Computer/Information Technology Administration and Management.,,
102377.0,Tuskegee University,Agricultural Business and Management.,,
102377.0,Tuskegee University,Animal Sciences.,,
102377.0,Tuskegee University,Plant Sciences.,,
102377.0,Tuskegee University,Soil Sciences.,,
102377.0,Tuskegee University,Natural Resources Conservation and Research.,,
102377.0,Tuskegee University,Natural Resources Management and Policy.,,
102377.0,Tuskegee University,"Computer and Information Sciences, General.",,
102377.0,Tuskegee University,Computer Science.,,
102377.0,Tuskegee University,Computer/Information Technology Administration and Management.,,
102377.0,Tuskegee University,"Education, General.",,
102377.0,Tuskegee University,Chemical Engineering.,,
102377.0,Tuskegee University,"Electrical, Electronics and Communications Engineering.",,
102377.0,Tuskegee University,Materials Engineering,,
102377.0,Tuskegee University,Mechanical Engineering.,,
102377.0,Tuskegee University,"Foods, Nutrition, and Related Services.",,
102377.0,Tuskegee University,"Biology, General.",,
102377.0,Tuskegee University,Chemistry.,,
102377.0,Tuskegee University,Materials Sciences.,,
102377.0,Tuskegee University,Public Health.,,
102377.0,Tuskegee University,Rehabilitation and Therapeutic Professions.,,51709.0
102395.0,United States Sports Academy,"Teacher Education and Professional Development, Specific Subject Areas.",,
102395.0,United States Sports Academy,"Parks, Recreation and Leisure Facilities Management.",,
102395.0,United States Sports Academy,Health and Physical Education/Fitness.,,51420.0
102669.0,Alaska Pacific University,Natural Resources Conservation and Research.,,
102669.0,Alaska Pacific University,"Liberal Arts and Sciences, General Studies and Humanities.",,
102669.0,Alaska Pacific University,Outdoor Education.,,
102669.0,Alaska Pacific University,"Clinical, Counseling and Applied Psychology.",,55766.0
102669.0,Alaska Pacific University,Public Health.,,
102669.0,Alaska Pacific University,"Business Administration, Management and Operations.",,84369.0
102669.0,Alaska Pacific University,Finance and Financial Management Services.,,
102669.0,Alaska Pacific University,Management Information Systems and Services.,,
104188.0,Southwest University of Visual Arts-Tucson,Graphic Communications.,,
104188.0,Southwest University of Visual Arts-Tucson,Fine and Studio Arts.,,
104586.0,Embry-Riddle Aeronautical University-Prescott,International Relations and National Security Studies.,,
104586.0,Embry-Riddle Aeronautical University-Prescott,Air Transportation.,,78896.0
104665.0,The School of Architecture,Architecture.,,
104665.0,The School of Architecture,Architectural Sciences and Technology.,,
105367.0,Ottawa University-Phoenix,Computer/Information Technology Administration and Management.,,
