UNITID,INSTNM,Institution_Type,Major_Code,CIPDESC,CREDLEV,CREDDESC,Avg_Student_Debt,Earnings_1Yr,Earnings_2Yr,Earnings_3Yr,EARN_MDN_1YR,Earnings_4Yr,Earnings_5Yr
101116.0,South University-Montgomery,"Private, for-profit",1104,Information Science/Studies.,5,Master's Degree,,59218,60839,62890,58864,88546,88529
101116.0,South University-Montgomery,"Private, for-profit",4301,Criminal Justice and Corrections.,5,Master's Degree,,39115,37478,33965,41898,37597,42437
101116.0,South University-Montgomery,"Private, for-profit",4404,Public Administration.,5,Master's Degree,,41016,41007,43418,45666,48623,46093
101116.0,South University-Montgomery,"Private, for-profit",5107,Health and Medical Administrative Services.,5,Master's Degree,,43629,45207,44849,47710,54350,63788
101116.0,South University-Montgomery,"Private, for-profit",5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5,Master's Degree,,90832,91613,98023,102397,106747,118330
101116.0,South University-Montgomery,"Private, for-profit",5202,"Business Administration, Management and Operations.",5,Master's Degree,,46002,42799,48444,59169,55109,60102
102845.0,Charter College,"Private, for-profit",5202,"Business Administration, Management and Operations.",5,Master's Degree,,,,,,,
104090.0,Brookline College-Phoenix,"Private, for-profit",4400,"Human Services, General.",5,Master's Degree,,,,,,,
104090.0,Brookline College-Phoenix,"Private, for-profit",5132,Bioethics/Medical Ethics.,5,Master's Degree,,,70009,,,69824,89504
104090.0,Brookline College-Phoenix,"Private, for-profit",5202,"Business Administration, Management and Operations.",5,Master's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",901,Communication and Media Studies.,5,Master's Degree,,,,,48139,,
104717.0,Grand Canyon University,"Private, for-profit",1101,"Computer and Information Sciences, General.",5,Master's Degree,,86965,87641,91610,97286,98231,111328
104717.0,Grand Canyon University,"Private, for-profit",1110,Computer/Information Technology Administration and Management.,5,Master's Degree,,,,,85677,,
104717.0,Grand Canyon University,"Private, for-profit",1301,"Education, General.",5,Master's Degree,,59308,59621,62793,72460,68887,77342
104717.0,Grand Canyon University,"Private, for-profit",1303,Curriculum and Instruction.,5,Master's Degree,,50846,50483,52796,,56984,63327
104717.0,Grand Canyon University,"Private, for-profit",1304,Educational Administration and Supervision.,5,Master's Degree,,56083,55605,59588,64777,64335,70614
104717.0,Grand Canyon University,"Private, for-profit",1305,Educational/Instructional Media Design.,5,Master's Degree,,62516,,,66830,,
104717.0,Grand Canyon University,"Private, for-profit",1310,Special Education and Teaching.,5,Master's Degree,,45704,44902,46759,54232,51615,57016
104717.0,Grand Canyon University,"Private, for-profit",1311,Student Counseling and Personnel Services.,5,Master's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5,Master's Degree,,40997,40728,43082,48788,47517,52990
104717.0,Grand Canyon University,"Private, for-profit",1313,"Teacher Education and Professional Development, Specific Subject Areas.",5,Master's Degree,,51330,50300,54355,58173,57181,64519
104717.0,Grand Canyon University,"Private, for-profit",1314,Teaching English or French as a Second or Foreign Language.,5,Master's Degree,,56028,56544,57188,63972,64872,68341
104717.0,Grand Canyon University,"Private, for-profit",3802,Religion/Religious Studies.,5,Master's Degree,,,34348,32580,,35340,18739
104717.0,Grand Canyon University,"Private, for-profit",3902,Bible/Biblical Studies.,5,Master's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",3904,Religious Education.,5,Master's Degree,,42008,42682,32300,43605,47104,50390
104717.0,Grand Canyon University,"Private, for-profit",3906,Theological and Ministerial Studies.,5,Master's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",4228,"Clinical, Counseling and Applied Psychology.",5,Master's Degree,,,40140,40263,,47825,49532
104717.0,Grand Canyon University,"Private, for-profit",4299,"Psychology, Other.",5,Master's Degree,,43695,42411,43447,51812,51068,57232
104717.0,Grand Canyon University,"Private, for-profit",4301,Criminal Justice and Corrections.,5,Master's Degree,,45908,41937,39858,50294,45738,52250
104717.0,Grand Canyon University,"Private, for-profit",4302,Fire Protection.,5,Master's Degree,,,,,,,
104717.0,Grand Canyon University,"Private, for-profit",4404,Public Administration.,5,Master's Degree,,51638,56014,55067,63014,62193,71360
104717.0,Grand Canyon University,"Private, for-profit",5107,Health and Medical Administrative Services.,5,Master's Degree,,59268,54401,56321,61360,68439,77763
104717.0,Grand Canyon University,"Private, for-profit",5115,Mental and Social Health Services and Allied Professions.,5,Master's Degree,,42189,40420,42415,48673,48448,52533
104717.0,Grand Canyon University,"Private, for-profit",5122,Public Health.,5,Master's Degree,,44120,49410,50992,53104,60869,70527
104717.0,Grand Canyon University,"Private, for-profit",5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5,Master's Degree,,97451,96705,100941,111869,109021,118164
104717.0,Grand Canyon University,"Private, for-profit",5202,"Business Administration, Management and Operations.",5,Master's Degree,,65248,64265,66703,72536,76457,86286
104717.0,Grand Canyon University,"Private, for-profit",5203,Accounting and Related Services.,5,Master's Degree,,58382,57047,64355,70495,72639,80687
104717.0,Grand Canyon University,"Private, for-profit",5214,Marketing.,5,Master's Degree,,55864,,,49936,,
108232.0,Academy of Art University,"Private, for-profit",402,Architecture.,5,Master's Degree,,,57318,61681,,72519,76223
108232.0,Academy of Art University,"Private, for-profit",406,Landscape Architecture.,5,Master's Degree,,,,,,,
108232.0,Academy of Art University,"Private, for-profit",409,Architectural Sciences and Technology.,5,Master's Degree,,,,,,,
108232.0,Academy of Art University,"Private, for-profit",901,Communication and Media Studies.,5,Master's Degree,,,44971,,,,
108232.0,Academy of Art University,"Private, for-profit",904,Journalism.,5,Master's Degree,,39016,,,,,
108232.0,Academy of Art University,"Private, for-profit",907,"Radio, Television, and Digital Communication.",5,Master's Degree,,,,,,,
108232.0,Academy of Art University,"Private, for-profit",909,"Public Relations, Advertising, and Applied Communication.",5,Master's Degree,,,66077,63589,,67687,86405
108232.0,Academy of Art University,"Private, for-profit",1002,Audiovisual Communications Technologies/Technicians.,5,Master's Degree,,,,,,,
108232.0,Academy of Art University,"Private, for-profit",1003,Graphic Communications.,5,Master's Degree,,,34420,42284,,50072,67772
108232.0,Academy of Art University,"Private, for-profit",1108,Computer Software and Media Applications.,5,Master's Degree,,55653,88417,69026,55139,83281,115316
108232.0,Academy of Art University,"Private, for-profit",1305,Educational/Instructional Media Design.,5,Master's Degree,,,,,,,
108232.0,Academy of Art University,"Private, for-profit",1313,"Teacher Education and Professional Development, Specific Subject Areas.",5,Master's Degree,,,,,,,
108232.0,Academy of Art University,"Private, for-profit",1513,Drafting/Design Engineering Technologies/Technicians.,5,Master's Degree,,58262,,,44643,,
108232.0,Academy of Art University,"Private, for-profit",1909,Apparel and Textiles.,5,Master's Degree,,,,,,,
108232.0,Academy of Art University,"Private, for-profit",5001,"Visual and Performing Arts, General.",5,Master's Degree,,29959,38289,,,,
108232.0,Academy of Art University,"Private, for-profit",5004,Design and Applied Arts.,5,Master's Degree,,43701,45340,47730,38358,49968,58596
108232.0,Academy of Art University,"Private, for-profit",5005,Drama/Theatre Arts and Stagecraft.,5,Master's Degree,,,,,36635,,
108232.0,Academy of Art University,"Private, for-profit",5006,Film/Video and Photographic Arts.,5,Master's Degree,,41783,35823,31391,41911,49593,53584
