UNITID,INSTNM,Institution_Type,Major_Code,CIPDESC,CREDLEV,CREDDESC,Avg_Student_Debt,Earnings_1Yr,Earnings_2Yr,Earnings_3Yr,EARN_MDN_1YR,Earnings_4Yr,Earnings_5Yr
100690.0,Amridge University,"Private, nonprofit",1907,"Human Development, Family Studies, and Related Services.",5,Master's Degree,,,,,,,
100690.0,Amridge University,"Private, nonprofit",3802,Religion/Religious Studies.,5,Master's Degree,,,,,,,
100690.0,Amridge University,"Private, nonprofit",3902,Bible/Biblical Studies.,5,Master's Degree,,,,,,,
100690.0,Amridge University,"Private, nonprofit",3906,Theological and Ministerial Studies.,5,Master's Degree,,,,,,,
100690.0,Amridge University,"Private, nonprofit",3907,Pastoral Counseling and Specialized Ministries.,5,Master's Degree,,,,,,,
100690.0,Amridge University,"Private, nonprofit",5115,Mental and Social Health Services and Allied Professions.,5,Master's Degree,,,,,,,
100690.0,Amridge University,"Private, nonprofit",5202,"Business Administration, Management and Operations.",5,Master's Degree,,,,,46125,,
101189.0,Faulkner University,"Private, nonprofit",1303,Curriculum and Instruction.,5,Master's Degree,,,,,54626,,
101189.0,Faulkner University,"Private, nonprofit",1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5,Master's Degree,,,,,52231,,
101189.0,Faulkner University,"Private, nonprofit",1313,"Teacher Education and Professional Development, Specific Subject Areas.",5,Master's Degree,,,,,,,
101189.0,Faulkner University,"Private, nonprofit",2401,"Liberal Arts and Sciences, General Studies and Humanities.",5,Master's Degree,,,,,,,
101189.0,Faulkner University,"Private, nonprofit",3902,Bible/Biblical Studies.,5,Master's Degree,,,,,,,
101189.0,Faulkner University,"Private, nonprofit",3906,Theological and Ministerial Studies.,5,Master's Degree,,,,,,,
101189.0,Faulkner University,"Private, nonprofit",3907,Pastoral Counseling and Specialized Ministries.,5,Master's Degree,,,,,,,
101189.0,Faulkner University,"Private, nonprofit",4301,Criminal Justice and Corrections.,5,Master's Degree,,50828,,,66634,,
101189.0,Faulkner University,"Private, nonprofit",5115,Mental and Social Health Services and Allied Professions.,5,Master's Degree,,28346,32925,35870,41573,,
101189.0,Faulkner University,"Private, nonprofit",5202,"Business Administration, Management and Operations.",5,Master's Degree,,52636,50856,,58210,,
101189.0,Faulkner University,"Private, nonprofit",5213,Management Sciences and Quantitative Methods.,5,Master's Degree,,37360,41992,,47992,,
101365.0,Herzing University-Birmingham,"Private, nonprofit",5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5,Master's Degree,,94228,94408,97156,103068,118306,125885
101365.0,Herzing University-Birmingham,"Private, nonprofit",5202,"Business Administration, Management and Operations.",5,Master's Degree,,51303,44389,45661,54065,49866,54354
101453.0,Heritage Christian University,"Private, nonprofit",3902,Bible/Biblical Studies.,5,Master's Degree,,,,,,,
101453.0,Heritage Christian University,"Private, nonprofit",3906,Theological and Ministerial Studies.,5,Master's Degree,,,,,,,
101693.0,University of Mobile,"Private, nonprofit",1304,Educational Administration and Supervision.,5,Master's Degree,,,,,,,
101693.0,University of Mobile,"Private, nonprofit",1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5,Master's Degree,,,,,,,
101693.0,University of Mobile,"Private, nonprofit",3802,Religion/Religious Studies.,5,Master's Degree,,,,,,,
101693.0,University of Mobile,"Private, nonprofit",5009,Music.,5,Master's Degree,,,,,,,
101693.0,University of Mobile,"Private, nonprofit",5115,Mental and Social Health Services and Allied Professions.,5,Master's Degree,,,,,,,
101693.0,University of Mobile,"Private, nonprofit",5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5,Master's Degree,,,,,103794,,
101693.0,University of Mobile,"Private, nonprofit",5202,"Business Administration, Management and Operations.",5,Master's Degree,,,,,,,
101912.0,Oakwood University,"Private, nonprofit",3907,Pastoral Counseling and Specialized Ministries.,5,Master's Degree,,,,,,,
101912.0,Oakwood University,"Private, nonprofit",5122,Public Health.,5,Master's Degree,,,,,,,
